Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 29.21      0.52     0.52   648000     0.00     0.00  DRAMSim::CommandQueue::process_precharge(DRAMSim::BusPacket**)
 14.61      0.78     0.26 65735424     0.00     0.00  DRAMSim::CommandQueue::isIssuable(DRAMSim::BusPacket*)
  9.83      0.96     0.18 41396928     0.00     0.00  DRAMSim::AddrMapping::addressMapping(unsigned long, unsigned int&, unsigned int&, unsigned int&, unsigned int&, unsigned int&)
  5.62      1.06     0.10   966912     0.00     0.00  DRAMSim::MemoryController::updateTransactionQueue()
  5.06      1.15     0.09   965568     0.00     0.00  DRAMSim::CommandQueue::process_command(DRAMSim::BusPacket**)
  3.93      1.22     0.07 41053568     0.00     0.00  DRAMSim::CommandQueue::hasRoomFor(unsigned int, unsigned int, unsigned int)
  3.37      1.28     0.06 20475776     0.00     0.00  DRAMSim::CommandQueue::nextRankAndBank(unsigned int&, unsigned int&)
  2.81      1.33     0.05   262144     0.00     0.00  DRAMSim::PIMBlock::mac(DRAMSim::BurstType&, DRAMSim::BurstType&, DRAMSim::BurstType&)
  2.81      1.38     0.05 63154240     0.00     0.00  DRAMSim::CommandQueue::getCommandQueue(unsigned int, unsigned int)
  1.97      1.41     0.04 20256960     0.00     0.00  DRAMSim::BusPacket::BusPacket(DRAMSim::BusPacketType, unsigned long, unsigned int, unsigned int, unsigned int, unsigned int, DRAMSim::BurstType*, std::ostream&)
  1.97      1.45     0.04 13809728     0.00     0.00  DRAMSim::AddrMapping::isSameBankgroup(int, int)
  1.69      1.48     0.03 18536374     0.00     0.00  unsigned int half_float::detail::float2half_impl<(std::float_round_style)1>(float, std::integral_constant<bool, true>)
  1.69      1.51     0.03   786432     0.00     0.00  DRAMSim::PIMRank::readOpd(int, DRAMSim::BurstType&, DRAMSim::PIMOpdType, DRAMSim::BusPacket*, int, bool, bool)
  1.69      1.54     0.03   582720     0.00     0.00  DRAMSim::Rank::updateState(DRAMSim::BusPacket*)
  1.69      1.57     0.03   533632     0.00     0.00  DRAMSim::Bank::searchForRow(unsigned int, std::shared_ptr<DRAMSim::Bank::_DataStruct>)
  1.12      1.59     0.02 16952432     0.00     0.00  convertF2H(float)
  1.12      1.61     0.02   966912     0.00     0.00  DRAMSim::MemorySystem::update()
  1.12      1.63     0.02   966912     0.00     0.00  DRAMSim::MemoryController::update()
  0.56      1.64     0.01  7498176     0.00     0.00  DRAMSim::SimulatorObject::step()
  0.56      1.65     0.01  4194304     0.00     0.00  unsigned int half_float::detail::fixed2half<(std::float_round_style)1, 20u, false, false, false>(unsigned long, int, unsigned int, int)
  0.56      1.66     0.01  1933824     0.00     0.00  DRAMSim::Rank::update()
  0.56      1.67     0.01  1545792     0.00     0.00  DRAMSim::MemoryController::WillAcceptTransaction()
  0.56      1.68     0.01   966912     0.00     0.00  DRAMSim::MemoryController::updateRefresh()
  0.56      1.69     0.01   966912     0.00     0.00  DRAMSim::MemoryController::updateBankState()
  0.56      1.70     0.01   305344     0.00     0.00  PIMAddrManager::addrGen(unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int)
  0.56      1.71     0.01   300288     0.00     0.00  DRAMSim::Transaction::Transaction(DRAMSim::TransactionType, unsigned long, DRAMSim::BurstType*)
  0.56      1.72     0.01   267392     0.00     0.00  DRAMSim::Bank::read(DRAMSim::BusPacket*)
  0.56      1.73     0.01   262336     0.00     0.00  DRAMSim::Rank::writeSb(DRAMSim::BusPacket*)
  0.56      1.74     0.01    38016     0.00     0.00  DRAMSim::MemoryController::receiveFromBus(DRAMSim::BusPacket*)
  0.56      1.75     0.01      128     0.00     0.00  DRAMSim::Rank::~Rank()
  0.56      1.76     0.01       35     0.00     0.00  void std::vector<DRAMSim::BurstType, std::allocator<DRAMSim::BurstType> >::_M_emplace_back_aux<DRAMSim::BurstType const&>(DRAMSim::BurstType const&)
  0.56      1.77     0.01        3     0.00     0.01  void npy::LoadArrayFromNumpy<unsigned short>(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::vector<unsigned long, std::allocator<unsigned long> >&, std::vector<unsigned short, std::allocator<unsigned short> >&)
  0.56      1.78     0.01        3     0.00     0.01  DRAMSim::NumpyBurstType::loadFp16(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >)
  0.28      1.78     0.01                             __tcf_0
  0.00      1.78     0.00  9316352     0.00     0.00  DRAMSim::Rank::updateBank(DRAMSim::BusPacketType, int, int, bool, bool)
  0.00      1.78     0.00  1934208     0.00     0.00  DRAMSim::PIMRank::update()
  0.00      1.78     0.00   966912     0.00     0.00  DRAMSim::CommandQueue::process_refresh(DRAMSim::BusPacket**)
  0.00      1.78     0.00   966912     0.00     0.00  DRAMSim::CommandQueue::pop(DRAMSim::BusPacket**)
  0.00      1.78     0.00   966912     0.00     0.00  DRAMSim::MemoryController::printDebugOnUpate()
  0.00      1.78     0.00   834048     0.00     0.00  DRAMSim::Rank::checkBank(DRAMSim::BusPacketType, int, int)
  0.00      1.78     0.00   597568     0.00     0.00  DRAMSim::Rank::receiveFromBus(DRAMSim::BusPacket*)
  0.00      1.78     0.00   597568     0.00     0.00  DRAMSim::Rank::execute(DRAMSim::BusPacket*)
  0.00      1.78     0.00   582720     0.00     0.00  DRAMSim::Rank::check(DRAMSim::BusPacket*)
